A00;Kolera
K27.9;Peptièni ulkus, mesto neopredeljeno, ki ni opredeljen kot akutni ali kronièni, brez hemorag. ali perfor.
K28;Gastrojejunalni ulkus
K28.0;Gastrojejunalni ulkus, akutni s hemoragijo
K28.1;Gastrojejunalni ulkus, akutni s perforacijo
K28.2;Gastrojejunalni ulkus, akutni s hemoragijo in perforacijo
K28.3;Gastrojejunalni ulkus, akutni brez hemoragije ali perforacije
K28.4;Gastrojejunalni ulkus, kronièni ali neopredeljeni s hemoragijo
K28.5;Gastrojejunalni ulkus, kronièni ali neopredeljeni s perforacijo
K28.6;Gastrojejunalni ulkus, kronièni ali neopredeljeni s hemoragijo in perforacijo
K28.7;Gastrojejunalni ulkus, kronièni brez hemoragije ali perforacije
K28.9;Gastrojejunalni ulkus, ki ni opredeljen kot akutni ali kronièni, brez hemoragije ali perforacije
K29;Gastritis in duodenitis
K29.0;Akutni hemoragièni gastritis
K29.1;Druge vrste akutni gastritis
K29.2;Alkoholni gastritis
K29.3;Kronièni površinski gastritis
K29.4;Kronièni atrofièni gastritis
K29.5;Kronièni gastritis, neopredeljen
K29.6;Druge vrste gastritis
K29.7;Gastritis, neopredeljen 
K29.8;Duodenitis
K29.9;Gastroduodenitis, neopredeljen
K30;Dispepsija
K31;Druge bolezni želodca in dvanajstnika
K31.0;Akutna dilatacija želodca
K31.1;Hipertrofièna pilorièna stenoza pri odraslih
K31.2;Striktura v obliki pešèene ure in stenoza želodca
K31.3;Pilorospazem, ki ni uvršèen drugje
K31.4;Divertikel želodca
K31.5;Obstrukcija dvanajstnika
K31.6;Fistula želodca in dvanajstnika
K31.7;Polip želodca in duodenuma
K31.8;Druge opredeljene bolezni želodca in dvanajstnika  
K31.81;Angiodisplazija želodca ali dvanajstnika, brez krvavitve
K31.82;Angiodisplazija želodca ali dvanajstnika s krvavitvijo
K31.88;Druge opredeljene bolezni želodca in dvanajstnika
K31.9;Bolezen želodca in dvanajstnika, neopredeljena
K35;Akutni apendicitis
K35.0;Akutni apendicitis z generaliziranim peritonitisom
K35.1;Akutni apendicitis s peritonealnim abscesom
K35.9;Akutni apendicitis, neopredeljen
K36;Druge vrste apendicitis
K37;Neopredeljeni apendicitis
K38;Druge bolezni slepièa
K38.0;Hiperplazija slepièa
K38.1;Apendikularni kamni
K38.2;Divertikel slepièa
K38.3;Fistula slepièa
K38.8;Druge opredeljene bolezni slepièa
K38.9;Bolezen slepièa, neopredeljena
K40;Ingvinalna hernija
K40.0;Bilateralna ingvinalna hernija, z obstrukcijo, brez gangrene
K40.00;Bilateralna ingvinalna hernija, z obstrukcijo, brez gangrene, neponavljajoèa
K40.01;Bilateralna ingvinalna hernija, z obstrukcijo, brez gangrene, ponavljajoèa
K40.1;Bilateralna ingvinalna hernija, z gangreno
K40.10;Bilateralna ingvinalna hernija, z gangreno, neponavljajoèa
K40.11;Bilateralna ingvinalna hernija, z gangreno, ponavljajoèa
K40.2;Bilateralna ingvinalna hernija, brez obstrukcije ali gangrene
K40.20;Bilateralna ingvinalna hernija, brez obstrukcije ali gangrene, neponavljajoèa
K40.21;Bilateralna ingvinalna hernija, brez obstrukcije ali gangrene, ponavljajoèa
K40.3;Enostranska ali neopredeljena ingvinalna hernija, z obstrukcijo, brez gangrene
K40.30;Enostranska ali neopredeljena ingvinalna hernija, z obstrukcijo, brez gangrene, neponavljajoèa
K40.31;Enostranska ali neopredeljena ingvinalna hernija, z obstrukcijo, brez gangrene, ponavljajoèa
K40.4;Enostranska ali neopredeljena ingvinalna hernija, z gangreno
K40.40;Enostranska ali neopredeljena ingvinalna hernija, z gangreno, neponavljajoèa
K40.41;Enostranska ali neopredeljena ingvinalna hernija, z gangreno, ponavljajoèa
K40.9;Enostranska ali neopredeljena ingvinalna hernija, brez obstrukcije ali gangrene
K40.90;Enostranska ali neopredeljena ingvinalna hernija, brez obstrukcije ali gangrene, neponavljajoèa
K40.91;Enostranska ali neopredeljena ingvinalna hernija, brez obstrukcije ali gangrene, ponavljajoèa
K41;Femoralna hernija
K41.0;Obojestranska femoralna hernija, z obstrukcijo, brez gangrene
K41.1;Obojestranska femoralna hernija, z gangreno
K41.2;Obojestranska femoralna hernija, brez obstrukcije ali gangrene
K41.3;Enostranska ali neopredeljena femoralna hernija, z obstrukcijo, brez gangrene
K41.4;Enostranska ali neopredeljena femoralna hernija, z gangreno
K41.9;Enostranska ali neopredeljena femoralna hernija, brez obstrukcije ali gangrene
K42;Umbilikalna hernija
K42.0;Umbilikalna hernija z obstrukcijo, brez gangrene
K42.1;Umbilikalna hernija z gangreno
K42.9;Umbilikalna hernija brez obstrukcije ali gangrene
K43;Ventralna hernija 
K43.0;Ventralna hernija z obstrukcijo, brez gangrene
K43.1;Ventralna hernija z gangreno
K43.9;Ventralna hernija brez obstrukcije ali gangrene
K44;Diafragemska hernija
K44.0;Diafragemska hernija z obstrukcijo, brez gangrene
K44.1;Diafragemska hernija z gangreno
K44.9;Diafragemska hernija brez obstrukcije ali gangrene
K45;Druge vrste abdominalna hernija
K45.0;Druge vrste opredeljena abdominalna hernija z obstrukcijo, brez gangrene
K45.1;Druge vrste opredeljena abdominalna hernija z gangreno
K45.8;Druge vrste opredeljena abdominalna hernija brez obstrukcije ali gangrene
K46;Neopredeljena abdominalna hernija
K46.0;Neopredeljena abdominalna hernija z obstrukcijo, brez gangrene
K46.1;Neopredeljena abdominalna hernija z gangreno
K46.9;Neopredeljena abdominalna hernija brez obstrukcije ali gangrene
K50;Crohnova bolezen [regionalni enteritis]
K50.0;Crohnova bolezen tankega èrevesa
K50.1;Crohnova bolezen debelega èrevesa
K50.8;Druge vrste Crohnova bolezen
K50.9;Crohnova bolezen, neopredeljena
K51;Ulcerozni kolitis
K51.0;Ulcerozni (kronièni) enterokolitis 
K51.2;Ulcerozni (kronièni) proktitis
K51.3;Ulcerozni (kronièni) rektosigmoiditis
K51.4;Psevdopolipoza kolona
K51.5;Mukozni proktokolitis
K51.8;Druge vrste ulcerozni kolitis
K51.9;Ulcerozni kolitis, neopredeljen
K52;Druge vrste neinfekcijski gastroenteritis in kolitis
K52.0;Gastroenteritis in kolitis zaradi sevanja
K52.1;Toksièni gastroenteritis in kolitis
K52.2;Alergijski in dietetièni gastroenteritis in kolitis
K52.3;Indeterminiran kolitis
K52.8;Druge vrste opredeljeni neinfekcijski gastroenteritis in kolitis
K52.9;Neinfekcijski gastroenteritis in kolitis, neopredeljen
K55;Žilne okvare èrevesja
K55.0;Akutne žilne okvare èrevesja 
K55.1;Kroniène žilne okvare èrevesja
K55.2;Angiodisplazija kolona
K55.21;Angiodisplazija kolona brez krvavitve
K55.22;Angiodisplazija kolona s krvavitvijo
K55.8;Druge žilne okvare èrevesja
K55.9;Žilna okvara èrevesja, neopredeljena
K56;Paralizni ileus in èrevesna obstrukcija brez hernije
K56.0;Paralizni ileus
K56.1;Intususcepcija
K56.2;Volvulus
K56.3;Ileus zaradi žolènih kamnov
K56.4;Druge vrste impakcija (zagozdenje) èrevesja
K56.5;Intestinalne adhezije (vezi) z obstrukcijo
K56.6;Druge vrste in neopredeljena intestinalna obstrukcija 
K56.7;Ileus, neopredeljen
K57;Divertikli èrevesja
K57.0;Divertikli tankega èrevesa s perforacijo in abscesom
K57.00;Divertikli tankega èrevesa s perforacijo in abscesom, divertikuloza, krvavitev ni omenjena
K57.01;Divertikli tankega èrevesa s perforacijo in abscesom, divertikuloza s krvavitvijo
K57.02;Divertikli tankega èrevesa s perforacijo in abscesom, divertikulitis, krvavitev ni omenjena
K57.03;Divertikli tankega èrevesa s perforacijo in abscesom, divertikulitis s krvavitvijo
K57.1;Divertikli tankega èrevesa brez perforacije ali abscesa
K57.10;Divertikli tankega èrevesa brez perforacije ali abscesa, divertikuloza, krvavitev ni omenjena
K57.11;Divertikli tankega èrevesa brez perforacije ali abscesa, divertikuloza s krvavitvijo
K57.12;Divertikli tankega èrevesa brez perforacije ali abscesa, divertikulitis, krvavitev ni omenjena
K57.13;Divertikli tankega èrevesa brez perforacije ali abscesa, divertikulitis s krvavitvijo
K57.2;Divertikli debelega èrevesa s perforacijo in abscesom
K57.20;Divertikli debelega èrevesa s perforacijo in abscesom, divertikuloza, krvavitev ni omenjena
K57.21;Divertikli debelega èrevesa s perforacijo in abscesom, divertikuloza s krvavitvijo
K57.22;Divertikli debelega èrevesa s perforacijo in abscesom, divertikulitis, krvavitev ni omenjena
K57.23;Divertikli debelega èrevesa s perforacijo in abscesom, divertikulitis s krvavitvijo
K57.3;Divertikli debelega èrevesa brez perforacije ali abscesa
K57.30;Divertikli debelega èrevesa brez perforacije ali abscesa, divertikuloza, krvavitev ni omenjena
K57.31;Divertikli debelega èrevesa brez perforacije ali abscesa, divertikuloza s krvavitvijo
K57.32;Divertikli debelega èrevesa brez perforacije ali abscesa, divertikulitis, krvavitev ni omenjena
K57.33;Divertikli debelega èrevesa brez perforacije ali abscesa, divertikulitis s krvavitvijo
K57.4;Divertikli tankega in debelega èrevesa s perforacijo in abscesom
K57.40;Divertikli tankega in debelega èrevesa s perforacijo in abscesom, divertikuloza, krvavitev ni omenjena
K57.41;Divertikli tankega in debelega èrevesa s perforacijo in abscesom, divertikuloza s krvavitvijo
K57.42;Divertikli tankega in debelega èrevesa s perforacijo in abscesom, divertikulitis, krvavitev ni omenjena
K57.43;Divertikli tankega in debelega èrevesa s perforacijo in abscesom, divertikulitis s krvavitvijo
K57.5;Divertikli tankega in debelega èrevesa brez perforacije ali abscesa
K57.50;Divertikli tankega in debelega èrevesa brez perforacije ali abscesa, divertikuloza, krvavitev ni omenjena
K57.51;Divertikli tankega in debelega èrevesa brez perforacije ali abscesa, divertikuloza s krvavitvijo
K57.52;Divertikli tankega in debelega èrevesa brez perforacije ali abscesa, divertikulitis, krvavitev ni omenjena
K57.53;Divertikli tankega in debelega èrevesa brez perforacije ali abscesa, divertikulitis s krvavitvijo
K57.8;Divertikli èrevesa, predel neopredeljen, s perforacijo in abscesom
K57.80;Divertikli èrevesa, predel neopredeljen, s perforacijo in abscesom, divertikuloza, krvavitev ni omenjena
K57.81;Divertikli èrevesa, predel neopredeljen, s perforacijo in abscesom, divertikuloza s krvavitvijo
K57.82;Divertikli èrevesa, predel neopredeljen, s perforacijo in abscesom, divertikulitis, krvavitev ni omenjena
K57.83;Divertikli èrevesa, predel neopredeljen, s perforacijo in abscesom, divertikulitis s krvavitvijo
K57.9;Divertikli èrevesa, predel neopredeljen, brez perforacije ali abscesa
K57.90;Divertikli èrevesa, predel neopredeljen, brez perforacije ali abscesa, divertikuloza, krvavitev ni omenjena
K57.91;Divertikli èrevesa, predel neopredeljen, brez perforacije ali abscesa, divertikuloza s krvavitvijo
K57.92;Divertikli èrevesa, predel neopredeljen, brez perforacije ali abscesa, divertikulitis, krvavitev ni omenjena
K57.93;Divertikli èrevesa, predel neopredeljen, brez perforacije ali abscesa, divertikulitis s krvavitvijo
K58;Sindrom razdražljivega èrevesa (iritabilnega kolona)
K58.0;Sindrom razdražljivega èrevesa z diarejo
K58.9;Sindrom razdražljivega èrevesa brez diareje
K59;Druge funkcijske motnje èrevesja
K59.0;Zaprtje (konstipacija)
K59.1;Funkcijska driska
K59.2;Nevrogeno èrevo, ki ni uvršèeno drugje
K59.3;Megakolon, ki ni uvršèen drugje
K59.4;Analni spazem
K59.8;Druge opredeljene funkcijske èrevesne motnje
K59.9;Funkcijska èrevesna motnja, neopredeljena
K60;Fisura in fistula analnega in rektalnega predela
K60.0;Akutna analna fisura
K60.1;Kronièna analna fisura
K60.2;Analna fisura, neopredeljena
K60.3;Analna fistula
K60.4;Rektalna fistula
K60.5;Anorektalna fistula
K61;Absces analnega in rektalnega predela
K61.0;Analni absces
K61.1;Rektalni absces
K61.2;Anorektalni absces
K61.3;Ishiorektalni absces
K61.4;Intrasfinkterni absces
K62;Druge bolezni zadnjika in danke
K62.0;Analni polip
K62.1;Rektalni polip
K62.2;Analni zdrs (prolaps)
K62.3;Rektalni zdrs (prolaps)
K62.4;Stenoza zadnjika in danke
K62.5;Hemoragija zadnjika in danke
K62.6;Ulkus zadnjika in danke
K62.7;Radiacijski proktitis
K62.8;Druge opredeljene bolezni zadnjika in danke
K62.9;Bolezen zadnjika in danke, neopredeljena
K63;Druge bolezni èrevesja
K63.0;Absces èrevesa
K63.1;Perforacija èrevesa (nepoškodbena)
K63.2;Fistula èrevesa
K63.3;Ulkus èrevesa
K63.4;Enteroptoza
K63.5;Polip debelega èrevesa
K63.50;Polip debelega èrevesa, neopredeljen
K63.51;Juvenilni polip debelega èrevesa
K63.58;Druge vrste polip debelega èrevesa
K63.8;Druge opredeljene bolezni èrevesa
K63.9;Èrevesna bolezen, neopredeljena
K65;Peritonitis
K65.0;Akutni peritonitis
K65.8;Druge vrste peritonitis 
K65.9;Peritonitis, neopredeljen
K66;Druge okvare peritoneja
K66.0;Peritonealne adhezije
K66.1;Hemoperitonej
K66.8;Druge opredeljene okvare peritoneja
K66.9;Druge okvare peritoneja, neopredeljene
K67;Okvare peritoneja pri infekcijskih boleznih, uvršèenih drugje
K67.0;Klamidijski peritonitis (A74.8†)
K67.1;Gonokokni peritonitis (A54.8†)
K67.2;Sifilitièni peritonitis (A52.7†)
K67.3;Tuberkulozni peritonitis (A18.3†)
K67.8;Druge okvare peritoneja pri infekcijskih boleznih, uvršèenih drugje
K70;Alkoholna bolezen jeter
K70.0;Alkoholna zamašèenost jeter
K70.1;Alkoholni hepatitis
K70.2;Alkoholna fibroza in skleroza jeter
K70.3;Alkoholna ciroza jeter
K70.4;Alkoholna odpoved jeter
K70.9;Alkoholna bolezen jeter, neopredeljena
K71;Toksièna  bolezen jeter
K71.0;Toksièna bolezen jeter s holestazo
K71.1;Toksièna bolezen jeter s hepatièno nekrozo
K71.2;Toksièna bolezen jeter z akutnim hepatitisom
K71.3;Toksièna bolezen jeter s kroniènim persistentnim hepatitisom
K71.4;Toksièna bolezen jeter s kroniènim lobularnim hepatitisom
K71.5;Toksièna bolezen jeter s kroniènim aktivnim hepatitisom
K71.6;Toksièna bolezen jeter s hepatitisom, ki ni uvršèena drugje
K71.7;Toksièna bolezen jeter s fibrozo in cirozo jeter
K71.8;Toksièna bolezen jeter z drugimi okvarami jeter
K71.9;Toksièna bolezen jeter, neopredeljena
K72;Odpoved jeter, ki ni uvršèena drugje
K72.0;Akutna in subakutna odpoved jeter
K72.1;Kronièna odpoved jeter
K72.9;Odpoved jeter, neopredeljena
K73;Kronièni hepatitis, ki ni uvršèen drugje
K73.0;Kronièni persistentni hepatitis, ki ni uvršèen drugje
K73.1;Kronièni lobularni hepatitis, ki ni uvršèen drugje
K73.2;Kronièni aktivni hepatitis, ki ni uvršèen drugje
K73.8;Druge vrste kronièni hepatitis, ki ni uvršèen drugje
K73.9;Kronièni hepatitis, neopredeljen
K74;Fibroza in ciroza jeter
K74.0;Fibroza jeter
K74.1;Skleroza jeter
K74.2;Fibroza jeter s sklerozo jeter
K74.3;Primarna biliarna ciroza
K74.4;Sekundarna biliarna ciroza
K74.5;Biliarna ciroza, neopredeljena
K74.6;Druge vrste in neopredeljena ciroza jeter
K75;Druge vnetne bolezni jeter
K75.0;Absces jeter
K75.1;Flebitis vene porte
K75.2;Nespecifièni reaktivni hepatitis
K75.3;Granulomatozni hepatitis, ki ni uvršèen drugje
K75.4;Avtoimunski hepatitis
K75.8;Druge opredeljene vnetne bolezni jeter
K75.9;Vnetna bolezen jeter, neopredeljena
K76;Druge bolezni jeter
K76.0;Mašèobna (sprememba) jeter, ki ni uvršèena drugje
K76.1;Kronièna pasivna kongestija jeter
K76.2;Centralna hemoragièna nekroza jeter
K76.3;Infarkt jeter
K76.4;Peliosis hepatis
K76.5;Venookluzivna bolezen jeter
K76.6;Portalna hipertenzija
K76.7;Hepatorenalni sindrom
K76.8;Druge opredeljene bolezni jeter
K76.9;Bolezen jeter, neopredeljena
K77;Druge okvare jeter pri boleznih, uvršèenih drugje
K77.0;Okvare jeter pri infekcijskih in parazitskih boleznih, uvršèenih drugje
K77.8;Okvare jeter pri boleznih, uvršèenih drugje
K80;Holelitiaza
K80.0;Kamen žolènika z akutnim holecistitisom 
K80.00;Kamen žolènika z akutnim holecistitisom, brez obstrukcije
K80.01;Kamen žolènika z akutnim holecistitisom, z obstrukcijo
K80.1;Kamen žolènika z druge vrste holecistitisom
K80.10;Kamen žolènika z druge vrste holecistitisom, brez obstrukcije
K80.11;Kamen žolènika z druge vrste holecistitisom, z obstrukcijo
K80.2;Kamen žolènika brez holecistitisa
K80.20;Kamen žolènika, brez obstrukcije
K80.21;Kamen žolènika, z obstrukcijo
K80.3;Kamen žolènega voda s holangitisom
K80.30;Kamen žolènega voda s holangitisom, brez obstrukcije
K80.31;Kamen žolènega voda s holangitisom, z obstrukcijo
K80.4;Kamen žolènega voda s holecistitisom
K80.40;Kamen žolènega voda, brez obstrukcije
K80.41;Kamen žolènega voda, z obstrukcijo
K80.5;Kamen žolèevoda brez holangitisa ali holecistitisa
K80.50;Kamen žolèevoda brez holangitisa ali holecistitisa, brez obstrukcije
K80.51;Kamen žolèevoda brez holangitisa ali holecistitisa, z obstrukcijo
K80.8;Druge vrste holelitiaza
K80.80;Druge vrste holelitiaza, bez obstrukcije
K80.81;Druge vrste holelitiaza, z obstrukcijo
K81;Holecistitis
K81.0;Akutni holecistitis
K81.1;Kronièni holecistitis
K81.8;Druge vrste holecistitis
K81.9;Holecistitis, neopredeljen
K82;Druge bolezni žolènika
K82.0;Obstrukcija žolènika
K82.1;Hidrops žolènika
K82.2;Perforacija žolènika
K82.3;Fistula žolènika
K82.4;Holesteroloza žolènika
K82.8;Druge opredeljene bolezni žolènika
K82.9;Bolezen žolènika, neopredeljena
K83;Druge bolezni biliarnega trakta
K83.0;Holangitis
K83.1;Obstrukcija žolèevoda
K83.2;Perforacija žolèevoda
K83.3;Fistula žolèevoda
K83.4;Spazem Oddijevega sfinkterja
K83.5;Biliarna cista
K83.8;Druge opredeljene bolezni biliarnega trakta
K83.9;Bolezen biliarnega trakta, neopredeljena
K85;Akutni pankreatitis
K85.0;Akutni idiopatski pankreatitis
K85.1;Akutni biliarni pankreatitis
K85.2;Akutni alkoholni pankreatitis
K85.3;Z zdravili povzroèen akutni pankreatitis
K85.8;Druge vrste akutni pankreatitis
K85.9;Akutni pankreatitis, neopredeljen
K86;Druge bolezni trebušne slinavke (pankreasa)
K86.0;Kronièni alkoholni pankreatitis
K86.1;Druge vrste kronièni pankreatitis
K86.2;Cista trebušne slinavke
K86.3;Psevdocista trebušne slinavke
K86.8;Druge opredeljene bolezni trebušne slinavke
K86.9;Bolezen trebušne slinavke, neopredeljena
K87;Nepravilnosti žolènika, biliarnega trakta in trebušne slinavke pri boleznih, uvršèenih drugje
K87.0;Nepravilnosti žolènika in biliarnega trakta pri boleznih, uvršèenih drugje
K87.1;Okvare trebušne slinavke pri boleznih, uvršèenih drugje
K90;Èrevesna malabsorpcija
K90.0;Celiakija
K90.1;Tropska sprue
K90.2;Sindrom slepe èrevesne vijuge, ki ni uvršèen drugje
K90.3;Pankreasna steatoreja
K90.4;Malabsorpcija zaradi intolerance, ki ni uvršèena drugje
K90.8;Druge vrste èrevesna malabsorpcija
K90.9;Èrevesna malabsorpcija, neopredeljena
K91;Okvare prebavil po posegih, ki niso uvršèene drugje
K91.0;Bruhanje po gastrointestinalnih kirurških posegih
K91.1;Sindromi po kirurškem posegu na želodcu
K91.2;Malabsorpcija po kirurških posegih, ki ni uvršèena drugje
K91.3;Pooperativna èrevesna obstrukcija
K91.4;Motnja v delovanju kolostome in enterostome
K91.5;Poholecistektomijski sindrom
K91.8;Druge okvare prebavil po posegih, ki niso uvršèene drugje
K91.9;Okvara prebavil po posegu, neopredeljena
K92;Druge bolezni prebavil
K92.0;Hematemeza
K92.1;Melena
K92.2;Gastrointestinalna krvavitev, neopredeljena
K92.8;Druge opredeljene bolezni prebavil
K92.9;Bolezen prebavil, neopredeljena
K93;Okvare drugih prebavnih organov pri boleznih, uvršèenih drugje
K93.1;Megakolon pri Chagasovi bolezni (B57.3†)
K93.8;Okvare drugih opredeljenih prebavnih organov pri boleznih, uvršèenih drugje  
L00;Sindrom bulozne stafilodermije (sindrom stafilokoknega krpastega lušèenja)
L01;Impetigo (krastavost)
L01.0;Impetigo [kateri koli povzroèitelj] [kjer koli]
L01.1;Sekundarna impetiginizacija
L02;Kožni absces, furunkel in karbunkel
L02.0;Kožni absces, furunkel in karbunkel obraza
L02.1;Kožni absces, furunkel in karbunkel vratu
L02.2;Kožni absces, furunkel in karbunkel na trupu
L02.3;Kožni absces, furunkel in karbunkel na zadnjici
L02.4;Kožni absces, furunkel in karbunkel na udu
L02.8;Kožni absces, furunkel in karbunkel na drugih mestih
L02.9;Kožni absces, furunkel in karbunkel, neopredeljen
L03;Celulitis
L03.0;Celulitis prstov rok in nog
L03.01;Celulitis prsta roke
L03.02;Celulitis prsta noge
L03.1;Celulitis drugih delov uda
L03.10;Celulitis zgornje okonèine
L03.11;Celulitis spodnje okonèine
L03.2;Celulitis obraza
L03.3;Celulitis na trupu
L03.8;Celulitis na drugih mestih
